segment,streak_id,year,team,streak_len,start_date,end_date,year_std,team_std,date_std,Rank,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,GO,FO,BB,HP,IB,SO,GDP,SH,SF,AVG_,OBP,SLG,OPS,Year_,row_order
streak,1,2021,두산,4,2021-09-01,2021-09-04,2021,두산,2021-09-01,4,0.242,2,71.0,62.0,7.0,15.0,3.0,0.0,0.0,18.0,6.0,3.0,0.0,23.0,12.0,4.0,3.0,0.0,12.0,4.0,1.0,1.0,0.242,0.314,0.29,0.604,2021,88
streak,1,2021,두산,4,2021-09-01,2021-09-04,2021,두산,2021-09-02,7,0.161,1,35.0,31.0,1.0,5.0,2.0,0.0,0.0,7.0,1.0,1.0,0.0,13.0,6.0,4.0,0.0,0.0,6.0,1.0,0.0,0.0,0.161,0.257,0.226,0.483,2021,89
streak,1,2021,두산,4,2021-09-01,2021-09-04,2021,두산,2021-09-03,9,0.071,1,33.0,28.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,10.0,3.0,0.0,0.0,9.0,0.0,2.0,0.0,0.071,0.161,0.107,0.268,2021,90
streak,1,2021,두산,4,2021-09-01,2021-09-04,2021,두산,2021-09-04,6,0.235,1,39.0,34.0,4.0,8.0,2.0,0.0,1.0,13.0,4.0,1.0,1.0,9.0,8.0,3.0,2.0,0.0,9.0,1.0,0.0,0.0,0.235,0.333,0.382,0.715,2021,91
streak,2,2021,두산,5,2021-06-23,2021-06-29,2021,두산,2021-06-23,4,0.257,1,40.0,35.0,3.0,9.0,1.0,0.0,0.0,10.0,3.0,1.0,0.0,14.0,6.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,0.257,0.35,0.286,0.636,2021,62
streak,2,2021,두산,5,2021-06-23,2021-06-29,2021,두산,2021-06-24,9,0.184,1,46.0,38.0,1.0,7.0,1.0,0.0,0.0,8.0,1.0,1.0,0.0,10.0,8.0,6.0,0.0,2.0,12.0,0.0,2.0,0.0,0.184,0.295,0.211,0.506,2021,63
streak,2,2021,두산,5,2021-06-23,2021-06-29,2021,두산,2021-06-25,7,0.156,1,35.0,32.0,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,8.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.156,0.229,0.156,0.385,2021,64
streak,2,2021,두산,5,2021-06-23,2021-06-29,2021,두산,2021-06-26,8,0.172,1,34.0,29.0,3.0,5.0,2.0,0.0,0.0,7.0,2.0,0.0,1.0,5.0,11.0,4.0,0.0,0.0,7.0,1.0,1.0,0.0,0.172,0.273,0.241,0.514,2021,65
streak,2,2021,두산,5,2021-06-23,2021-06-29,2021,두산,2021-06-27,2,0.324,1,40.0,37.0,6.0,12.0,3.0,1.0,0.0,17.0,5.0,2.0,0.0,11.0,9.0,2.0,0.0,1.0,4.0,0.0,1.0,0.0,0.324,0.359,0.459,0.818,2021,66
streak,3,2021,삼성,4,2021-08-13,2021-08-17,2021,삼성,2021-08-13,7,0.219,1,40.0,32.0,6.0,7.0,1.0,1.0,0.0,10.0,6.0,1.0,0.0,11.0,7.0,5.0,1.0,1.0,8.0,0.0,0.0,2.0,0.219,0.325,0.313,0.638,2021,80
streak,3,2021,삼성,4,2021-08-13,2021-08-17,2021,삼성,2021-08-14,7,0.206,1,36.0,34.0,4.0,7.0,1.0,0.0,1.0,11.0,4.0,1.0,0.0,7.0,10.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.206,0.25,0.324,0.574,2021,81
streak,3,2021,삼성,4,2021-08-13,2021-08-17,2021,삼성,2021-08-15,8,0.182,1,37.0,33.0,4.0,6.0,1.0,0.0,0.0,7.0,4.0,2.0,0.0,8.0,10.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,0.182,0.27,0.212,0.482,2021,82
streak,3,2021,삼성,4,2021-08-13,2021-08-17,2021,삼성,2021-08-17,2,0.207,1,35.0,29.0,2.0,6.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,7.0,6.0,4.0,0.0,0.0,10.0,2.0,1.0,1.0,0.207,0.294,0.207,0.501,2021,83
streak,4,2021,키움,4,2021-08-28,2021-09-01,2021,키움,2021-08-28,9,0.143,1,32.0,28.0,2.0,4.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,7.0,8.0,2.0,1.0,0.0,9.0,1.0,0.0,1.0,0.143,0.219,0.143,0.362,2021,93
streak,4,2021,키움,4,2021-08-28,2021-09-01,2021,키움,2021-08-29,10,0.036,1,32.0,28.0,2.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,13.0,4.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,0.036,0.156,0.143,0.299,2021,94
streak,4,2021,키움,4,2021-08-28,2021-09-01,2021,키움,2021-08-31,2,0.294,1,38.0,34.0,2.0,10.0,3.0,0.0,0.0,13.0,2.0,0.0,0.0,10.0,7.0,1.0,0.0,0.0,7.0,0.0,2.0,1.0,0.294,0.306,0.382,0.688,2021,95
streak,4,2021,키움,4,2021-08-28,2021-09-01,2021,키움,2021-09-01,7,0.167,1,28.0,24.0,1.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,8.0,4.0,0.0,0.0,7.0,1.0,0.0,0.0,0.167,0.286,0.167,0.453,2021,96
streak,5,2021,키움,6,2021-09-12,2021-09-22,2021,키움,2021-09-12,4,0.27,2,80.0,74.0,10.0,20.0,7.0,0.0,0.0,27.0,7.0,0.0,0.0,25.0,11.0,5.0,1.0,0.0,16.0,0.0,0.0,0.0,0.27,0.325,0.365,0.69,2021,105
streak,5,2021,키움,6,2021-09-12,2021-09-22,2021,키움,2021-09-14,9,0.212,1,46.0,33.0,8.0,7.0,1.0,0.0,1.0,11.0,8.0,6.0,0.0,15.0,8.0,9.0,2.0,0.0,4.0,0.0,0.0,2.0,0.212,0.391,0.333,0.724,2021,106
streak,5,2021,키움,6,2021-09-12,2021-09-22,2021,키움,2021-09-15,8,0.243,1,40.0,37.0,2.0,9.0,2.0,0.0,0.0,11.0,2.0,0.0,0.0,7.0,13.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.243,0.3,0.297,0.597,2021,107
streak,5,2021,키움,6,2021-09-12,2021-09-22,2021,키움,2021-09-16,5,0.282,1,46.0,39.0,8.0,11.0,2.0,0.0,0.0,13.0,7.0,1.0,0.0,8.0,8.0,2.0,4.0,1.0,12.0,0.0,0.0,1.0,0.282,0.37,0.333,0.703,2021,108
streak,5,2021,키움,6,2021-09-12,2021-09-22,2021,키움,2021-09-17,6,0.2,1,39.0,30.0,5.0,6.0,3.0,0.0,0.0,9.0,5.0,0.0,0.0,10.0,13.0,7.0,0.0,0.0,2.0,2.0,0.0,2.0,0.2,0.333,0.3,0.633,2021,109
streak,5,2021,키움,6,2021-09-12,2021-09-22,2021,키움,2021-09-18,4,0.344,1,40.0,32.0,3.0,11.0,1.0,0.0,0.0,12.0,3.0,0.0,0.0,12.0,6.0,4.0,0.0,0.0,3.0,3.0,2.0,2.0,0.344,0.395,0.375,0.77,2021,110
streak,5,2021,키움,6,2021-09-12,2021-09-22,2021,키움,2021-09-19,7,0.229,1,35.0,35.0,0.0,8.0,3.0,0.0,0.0,11.0,0.0,1.0,0.0,13.0,6.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.229,0.229,0.314,0.543,2021,111
streak,5,2021,키움,6,2021-09-12,2021-09-22,2021,키움,2021-09-21,5,0.342,1,42.0,38.0,10.0,13.0,1.0,0.0,2.0,20.0,10.0,2.0,1.0,8.0,12.0,2.0,2.0,0.0,5.0,1.0,0.0,0.0,0.342,0.405,0.526,0.931,2021,112
streak,5,2021,키움,6,2021-09-12,2021-09-22,2021,키움,2021-09-22,7,0.235,1,41.0,34.0,7.0,8.0,1.0,0.0,1.0,12.0,7.0,0.0,0.0,11.0,10.0,4.0,2.0,1.0,3.0,0.0,0.0,1.0,0.235,0.341,0.353,0.694,2021,113
streak,6,2021,롯데,4,2021-06-13,2021-06-16,2021,롯데,2021-06-13,1,0.329,2,88.0,70.0,11.0,23.0,3.0,0.0,2.0,32.0,11.0,3.0,0.0,11.0,20.0,16.0,1.0,0.0,15.0,2.0,1.0,0.0,0.329,0.46,0.457,0.917,2021,53
streak,6,2021,롯데,4,2021-06-13,2021-06-16,2021,롯데,2021-06-15,6,0.207,1,35.0,29.0,2.0,6.0,1.0,1.0,0.0,9.0,2.0,0.0,0.0,5.0,7.0,5.0,0.0,0.0,8.0,0.0,1.0,0.0,0.207,0.324,0.31,0.634,2021,54
streak,6,2021,롯데,4,2021-06-13,2021-06-16,2021,롯데,2021-06-16,7,0.219,2,75.0,64.0,7.0,14.0,2.0,0.0,1.0,19.0,6.0,3.0,0.0,17.0,18.0,8.0,1.0,0.0,17.0,2.0,0.0,2.0,0.219,0.307,0.297,0.604,2021,55
streak,7,2021,한화,5,2021-10-08,2021-10-16,2021,한화,2021-10-08,6,0.194,1,33.0,31.0,3.0,6.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,10.0,3.0,1.0,0.0,0.0,13.0,1.0,0.0,1.0,0.194,0.212,0.226,0.438,2021,125
streak,7,2021,한화,5,2021-10-08,2021-10-16,2021,한화,2021-10-09,4,0.167,1,38.0,30.0,4.0,5.0,0.0,0.0,1.0,8.0,3.0,0.0,0.0,8.0,8.0,6.0,2.0,0.0,9.0,2.0,0.0,0.0,0.167,0.342,0.267,0.609,2021,126
streak,7,2021,한화,5,2021-10-08,2021-10-16,2021,한화,2021-10-10,3,0.234,2,71.0,64.0,1.0,15.0,1.0,0.0,0.0,16.0,1.0,0.0,3.0,21.0,16.0,6.0,1.0,0.0,12.0,5.0,0.0,0.0,0.234,0.31,0.25,0.56,2021,127
streak,7,2021,한화,5,2021-10-08,2021-10-16,2021,한화,2021-10-16,9,0.188,1,34.0,32.0,2.0,6.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,12.0,5.0,2.0,0.0,0.0,9.0,1.0,0.0,0.0,0.188,0.235,0.219,0.454,2021,128
streak,8,2021,한화,6,2021-10-22,2021-10-30,2021,한화,2021-10-22,8,0.103,1,32.0,29.0,0.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,5.0,3.0,0.0,0.0,10.0,1.0,0.0,0.0,0.103,0.188,0.172,0.36,2021,131
streak,8,2021,한화,6,2021-10-22,2021-10-30,2021,한화,2021-10-23,1,0.359,1,54.0,39.0,15.0,14.0,2.0,0.0,1.0,19.0,14.0,1.0,0.0,8.0,7.0,13.0,1.0,0.0,10.0,0.0,0.0,1.0,0.359,0.519,0.487,1.006,2021,132
streak,8,2021,한화,6,2021-10-22,2021-10-30,2021,한화,2021-10-24,5,0.219,1,35.0,32.0,2.0,7.0,0.0,1.0,1.0,12.0,2.0,4.0,0.0,4.0,12.0,2.0,0.0,0.0,9.0,0.0,0.0,1.0,0.219,0.257,0.375,0.632,2021,133
streak,8,2021,한화,6,2021-10-22,2021-10-30,2021,한화,2021-10-25,4,0.125,1,35.0,32.0,4.0,4.0,1.0,0.0,1.0,8.0,4.0,1.0,0.0,12.0,5.0,3.0,0.0,0.0,8.0,1.0,0.0,0.0,0.125,0.2,0.25,0.45,2021,134
streak,8,2021,한화,6,2021-10-22,2021-10-30,2021,한화,2021-10-26,6,0.107,1,32.0,28.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,8.0,2.0,2.0,0.0,6.0,1.0,0.0,0.0,0.107,0.219,0.107,0.326,2021,135
streak,8,2021,한화,6,2021-10-22,2021-10-30,2021,한화,2021-10-27,10,0.133,1,36.0,30.0,1.0,4.0,2.0,0.0,0.0,6.0,1.0,1.0,0.0,4.0,6.0,5.0,1.0,0.0,16.0,1.0,0.0,0.0,0.133,0.278,0.2,0.478,2021,136
streak,8,2021,한화,6,2021-10-22,2021-10-30,2021,한화,2021-10-28,6,0.143,1,34.0,28.0,1.0,4.0,2.0,0.0,0.0,6.0,1.0,1.0,1.0,4.0,3.0,5.0,0.0,1.0,17.0,0.0,1.0,0.0,0.143,0.273,0.214,0.487,2021,137
streak,8,2021,한화,6,2021-10-22,2021-10-30,2021,한화,2021-10-30,8,0.206,1,35.0,34.0,3.0,7.0,2.0,0.0,0.0,9.0,3.0,0.0,0.0,7.0,12.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.206,0.229,0.265,0.494,2021,138
streak,9,2021,한화,10,2021-06-19,2021-07-01,2021,한화,2021-06-19,6,0.294,1,43.0,34.0,5.0,10.0,2.0,0.0,1.0,15.0,4.0,2.0,0.0,10.0,6.0,6.0,2.0,0.0,9.0,2.0,0.0,1.0,0.294,0.419,0.441,0.86,2021,60
streak,9,2021,한화,10,2021-06-19,2021-07-01,2021,한화,2021-06-20,10,0.111,1,34.0,27.0,3.0,3.0,0.0,0.0,1.0,6.0,1.0,2.0,3.0,7.0,8.0,7.0,0.0,0.0,9.0,0.0,0.0,0.0,0.111,0.294,0.222,0.516,2021,61
streak,9,2021,한화,10,2021-06-19,2021-07-01,2021,한화,2021-06-22,10,0.103,1,30.0,29.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,4.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,0.103,0.133,0.103,0.236,2021,62
streak,9,2021,한화,10,2021-06-19,2021-07-01,2021,한화,2021-06-23,9,0.156,1,33.0,32.0,0.0,5.0,0.0,1.0,0.0,7.0,0.0,1.0,1.0,10.0,7.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.156,0.182,0.219,0.401,2021,63
streak,9,2021,한화,10,2021-06-19,2021-07-01,2021,한화,2021-06-24,7,0.219,1,35.0,32.0,2.0,7.0,2.0,1.0,0.0,11.0,2.0,0.0,0.0,15.0,3.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.219,0.286,0.344,0.63,2021,64
streak,9,2021,한화,10,2021-06-19,2021-07-01,2021,한화,2021-06-25,8,0.111,1,19.0,18.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.111,0.158,0.222,0.38,2021,65
streak,9,2021,한화,10,2021-06-19,2021-07-01,2021,한화,2021-06-26,9,0.161,1,34.0,31.0,2.0,5.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,9.0,6.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,0.161,0.235,0.194,0.429,2021,66
streak,9,2021,한화,10,2021-06-19,2021-07-01,2021,한화,2021-06-27,6,0.229,1,37.0,35.0,1.0,8.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,8.0,7.0,2.0,0.0,0.0,11.0,1.0,0.0,0.0,0.229,0.27,0.257,0.527,2021,67
streak,9,2021,한화,10,2021-06-19,2021-07-01,2021,한화,2021-06-30,1,0.371,1,44.0,35.0,6.0,13.0,1.0,0.0,2.0,20.0,6.0,0.0,1.0,7.0,8.0,6.0,1.0,0.0,6.0,2.0,2.0,0.0,0.371,0.476,0.571,1.047,2021,68
streak,9,2021,한화,10,2021-06-19,2021-07-01,2021,한화,2021-07-01,7,0.242,1,35.0,33.0,3.0,8.0,2.0,0.0,0.0,10.0,3.0,0.0,0.0,3.0,10.0,1.0,0.0,0.0,13.0,1.0,0.0,1.0,0.242,0.257,0.303,0.56,2021,69
streak,10,2022,키움,4,2022-07-27,2022-08-02,2022,키움,2022-07-27,10,0.212,1,37.0,33.0,4.0,7.0,1.0,0.0,1.0,11.0,4.0,0.0,0.0,9.0,8.0,2.0,1.0,0.0,7.0,0.0,1.0,0.0,0.212,0.278,0.333,0.611,2022,91
streak,10,2022,키움,4,2022-07-27,2022-08-02,2022,키움,2022-07-28,7,0.182,1,36.0,33.0,2.0,6.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,15.0,5.0,3.0,0.0,0.0,7.0,2.0,0.0,0.0,0.182,0.25,0.182,0.432,2022,92
streak,10,2022,키움,4,2022-07-27,2022-08-02,2022,키움,2022-07-29,10,0.182,1,41.0,33.0,3.0,6.0,1.0,0.0,1.0,10.0,3.0,0.0,0.0,10.0,7.0,7.0,1.0,0.0,9.0,0.0,0.0,0.0,0.182,0.341,0.303,0.644,2022,93
streak,10,2022,키움,4,2022-07-27,2022-08-02,2022,키움,2022-07-30,8,0.255,1,54.0,47.0,3.0,12.0,3.0,0.0,0.0,15.0,3.0,1.0,0.0,16.0,9.0,4.0,1.0,0.0,10.0,0.0,1.0,1.0,0.255,0.321,0.319,0.64,2022,94
streak,10,2022,키움,4,2022-07-27,2022-08-02,2022,키움,2022-08-02,3,0.25,1,41.0,36.0,5.0,9.0,3.0,0.0,0.0,12.0,4.0,0.0,0.0,15.0,5.0,5.0,0.0,0.0,7.0,2.0,0.0,0.0,0.25,0.341,0.333,0.674,2022,95
streak,11,2022,키움,5,2022-08-06,2022-08-12,2022,키움,2022-08-06,5,0.27,1,39.0,37.0,3.0,10.0,1.0,0.0,1.0,14.0,2.0,0.0,0.0,10.0,12.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.27,0.308,0.378,0.686,2022,99
streak,11,2022,키움,5,2022-08-06,2022-08-12,2022,키움,2022-08-07,7,0.194,1,33.0,31.0,0.0,6.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,11.0,8.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,0.194,0.242,0.226,0.468,2022,100
streak,11,2022,키움,5,2022-08-06,2022-08-12,2022,키움,2022-08-10,2,0.289,1,41.0,38.0,3.0,11.0,3.0,0.0,0.0,14.0,3.0,0.0,0.0,9.0,8.0,2.0,1.0,0.0,10.0,0.0,0.0,0.0,0.289,0.341,0.368,0.709,2022,101
