segment,streak_id,year,team,streak_len,start_date,end_date,year_std,team_std,date_std,Rank,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,GO,FO,BB,HP,IB,SO,GDP,SH,SF,AVG_,OBP,SLG,OPS,Year_,row_order
post,1,2021,두산,4,2021-09-01,2021-09-04,2021,두산,2021-09-05,6,0.306,1,40.0,36.0,6.0,11.0,3.0,0.0,2.0,20.0,6.0,0.0,0.0,6.0,11.0,3.0,0.0,1.0,8.0,1.0,0.0,1.0,0.306,0.35,0.556,0.906,2021,92
post,1,2021,두산,4,2021-09-01,2021-09-04,2021,두산,2021-09-08,1,0.367,1,40.0,30.0,7.0,11.0,2.0,0.0,1.0,16.0,7.0,1.0,1.0,8.0,11.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,0.367,0.462,0.533,0.995,2021,93
post,1,2021,두산,4,2021-09-01,2021-09-04,2021,두산,2021-09-09,9,0.188,1,37.0,32.0,6.0,6.0,3.0,0.0,1.0,12.0,5.0,1.0,0.0,5.0,13.0,3.0,0.0,0.0,9.0,0.0,0.0,2.0,0.188,0.243,0.375,0.618,2021,94
post,1,2021,두산,4,2021-09-01,2021-09-04,2021,두산,2021-09-10,3,0.25,1,40.0,36.0,8.0,9.0,2.0,0.0,1.0,14.0,6.0,0.0,0.0,7.0,13.0,4.0,0.0,0.0,7.0,1.0,0.0,0.0,0.25,0.325,0.389,0.714,2021,95
post,1,2021,두산,4,2021-09-01,2021-09-04,2021,두산,2021-09-11,10,0.143,1,43.0,28.0,5.0,4.0,2.0,0.0,0.0,6.0,5.0,2.0,0.0,8.0,10.0,10.0,4.0,1.0,6.0,1.0,0.0,1.0,0.143,0.419,0.214,0.633,2021,96
post,2,2021,두산,5,2021-06-23,2021-06-29,2021,두산,2021-06-30,4,0.265,1,42.0,34.0,8.0,9.0,1.0,0.0,1.0,13.0,8.0,0.0,0.0,10.0,7.0,7.0,0.0,0.0,6.0,0.0,1.0,0.0,0.265,0.39,0.382,0.772,2021,67
post,2,2021,두산,5,2021-06-23,2021-06-29,2021,두산,2021-07-01,3,0.333,1,45.0,39.0,10.0,13.0,3.0,1.0,2.0,24.0,10.0,0.0,0.0,6.0,13.0,4.0,1.0,0.0,6.0,1.0,0.0,1.0,0.333,0.4,0.615,1.015,2021,68
post,2,2021,두산,5,2021-06-23,2021-06-29,2021,두산,2021-07-02,4,0.257,1,38.0,35.0,3.0,9.0,3.0,0.0,0.0,12.0,2.0,1.0,0.0,11.0,8.0,2.0,0.0,0.0,8.0,1.0,0.0,1.0,0.257,0.289,0.343,0.632,2021,69
post,2,2021,두산,5,2021-06-23,2021-06-29,2021,두산,2021-07-04,7,0.226,1,36.0,31.0,3.0,7.0,2.0,0.0,1.0,12.0,3.0,0.0,0.0,9.0,11.0,5.0,0.0,0.0,3.0,2.0,0.0,0.0,0.226,0.333,0.387,0.72,2021,70
post,2,2021,두산,5,2021-06-23,2021-06-29,2021,두산,2021-07-06,2,0.316,1,43.0,38.0,3.0,12.0,2.0,0.0,1.0,17.0,3.0,0.0,0.0,12.0,10.0,5.0,0.0,0.0,4.0,2.0,0.0,0.0,0.316,0.395,0.447,0.842,2021,71
post,3,2021,삼성,4,2021-08-13,2021-08-17,2021,삼성,2021-08-18,3,0.267,1,39.0,30.0,6.0,8.0,0.0,1.0,0.0,10.0,6.0,2.0,1.0,6.0,11.0,6.0,1.0,0.0,5.0,2.0,1.0,1.0,0.267,0.395,0.333,0.728,2021,84
post,3,2021,삼성,4,2021-08-13,2021-08-17,2021,삼성,2021-08-19,1,0.351,1,51.0,37.0,11.0,13.0,4.0,0.0,0.0,17.0,11.0,1.0,0.0,7.0,12.0,10.0,1.0,2.0,7.0,0.0,0.0,3.0,0.351,0.471,0.459,0.93,2021,85
post,3,2021,삼성,4,2021-08-13,2021-08-17,2021,삼성,2021-08-20,8,0.179,1,31.0,28.0,3.0,5.0,0.0,0.0,2.0,11.0,3.0,1.0,0.0,7.0,10.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0,0.179,0.258,0.393,0.651,2021,86
post,3,2021,삼성,4,2021-08-13,2021-08-17,2021,삼성,2021-08-22,5,0.235,1,35.0,34.0,4.0,8.0,2.0,0.0,1.0,13.0,4.0,2.0,0.0,9.0,10.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.235,0.229,0.382,0.611,2021,87
post,3,2021,삼성,4,2021-08-13,2021-08-17,2021,삼성,2021-08-24,2,0.417,1,45.0,36.0,9.0,15.0,2.0,0.0,1.0,20.0,8.0,1.0,1.0,10.0,5.0,7.0,1.0,0.0,6.0,2.0,0.0,1.0,0.417,0.511,0.556,1.067,2021,88
post,4,2021,키움,4,2021-08-28,2021-09-01,2021,키움,2021-09-02,3,0.258,1,35.0,31.0,1.0,8.0,1.0,0.0,0.0,9.0,1.0,2.0,0.0,8.0,8.0,4.0,0.0,1.0,6.0,1.0,0.0,0.0,0.258,0.343,0.29,0.633,2021,97
post,4,2021,키움,4,2021-08-28,2021-09-01,2021,키움,2021-09-03,10,0.069,1,34.0,29.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,8.0,4.0,0.0,0.0,8.0,0.0,1.0,0.0,0.069,0.182,0.103,0.285,2021,98
post,4,2021,키움,4,2021-08-28,2021-09-01,2021,키움,2021-09-04,4,0.303,1,39.0,33.0,9.0,10.0,1.0,0.0,2.0,17.0,8.0,1.0,0.0,7.0,10.0,5.0,0.0,0.0,6.0,1.0,0.0,1.0,0.303,0.385,0.515,0.9,2021,99
post,4,2021,키움,4,2021-08-28,2021-09-01,2021,키움,2021-09-05,4,0.314,1,41.0,35.0,10.0,11.0,3.0,0.0,1.0,17.0,10.0,1.0,0.0,10.0,9.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,0.314,0.39,0.486,0.876,2021,100
post,4,2021,키움,4,2021-08-28,2021-09-01,2021,키움,2021-09-08,8,0.229,1,36.0,35.0,1.0,8.0,2.0,0.0,0.0,10.0,1.0,0.0,0.0,7.0,10.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.229,0.25,0.286,0.536,2021,101
post,5,2021,키움,6,2021-09-12,2021-09-22,2021,키움,2021-09-23,6,0.207,1,34.0,29.0,4.0,6.0,2.0,1.0,0.0,10.0,3.0,2.0,0.0,8.0,6.0,2.0,2.0,0.0,9.0,1.0,1.0,0.0,0.207,0.303,0.345,0.648,2021,114
post,5,2021,키움,6,2021-09-12,2021-09-22,2021,키움,2021-09-24,7,0.229,1,36.0,35.0,3.0,8.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,9.0,8.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.229,0.25,0.229,0.479,2021,115
post,5,2021,키움,6,2021-09-12,2021-09-22,2021,키움,2021-09-25,2,0.297,1,41.0,37.0,6.0,11.0,1.0,0.0,1.0,15.0,6.0,1.0,0.0,11.0,8.0,2.0,2.0,0.0,7.0,1.0,0.0,0.0,0.297,0.366,0.405,0.771,2021,116
post,5,2021,키움,6,2021-09-12,2021-09-22,2021,키움,2021-09-26,1,0.351,1,42.0,37.0,11.0,13.0,3.0,1.0,4.0,30.0,11.0,0.0,0.0,10.0,8.0,2.0,3.0,0.0,6.0,1.0,0.0,0.0,0.351,0.429,0.811,1.24,2021,117
post,5,2021,키움,6,2021-09-12,2021-09-22,2021,키움,2021-09-28,10,0.121,1,36.0,33.0,1.0,4.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,9.0,13.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.121,0.194,0.212,0.406,2021,118
post,6,2021,롯데,4,2021-06-13,2021-06-16,2021,롯데,2021-06-17,1,0.375,1,44.0,40.0,9.0,15.0,4.0,0.0,4.0,31.0,9.0,0.0,1.0,12.0,7.0,3.0,0.0,0.0,6.0,0.0,0.0,1.0,0.375,0.409,0.775,1.184,2021,56
post,6,2021,롯데,4,2021-06-13,2021-06-16,2021,롯데,2021-06-18,9,0.167,1,34.0,30.0,7.0,5.0,3.0,0.0,2.0,14.0,6.0,0.0,0.0,12.0,10.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.167,0.265,0.467,0.732,2021,57
post,6,2021,롯데,4,2021-06-13,2021-06-16,2021,롯데,2021-06-19,9,0.25,1,36.0,32.0,1.0,8.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,16.0,3.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,0.25,0.333,0.281,0.614,2021,58
post,6,2021,롯데,4,2021-06-13,2021-06-16,2021,롯데,2021-06-20,1,0.382,1,38.0,34.0,8.0,13.0,1.0,1.0,2.0,22.0,7.0,1.0,0.0,10.0,10.0,3.0,0.0,0.0,2.0,2.0,0.0,1.0,0.382,0.421,0.647,1.068,2021,59
post,6,2021,롯데,4,2021-06-13,2021-06-16,2021,롯데,2021-06-22,7,0.212,1,37.0,33.0,2.0,7.0,1.0,0.0,1.0,11.0,2.0,0.0,1.0,8.0,14.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.212,0.297,0.333,0.63,2021,60
post,7,2021,한화,5,2021-10-08,2021-10-16,2021,한화,2021-10-17,7,0.212,1,34.0,33.0,2.0,7.0,1.0,0.0,0.0,8.0,1.0,0.0,1.0,5.0,7.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.212,0.212,0.242,0.454,2021,129
post,7,2021,한화,5,2021-10-08,2021-10-16,2021,한화,2021-10-21,2,0.297,1,52.0,37.0,13.0,11.0,3.0,0.0,0.0,14.0,11.0,0.0,0.0,15.0,7.0,12.0,1.0,0.0,4.0,0.0,1.0,1.0,0.297,0.471,0.378,0.849,2021,130
post,7,2021,한화,5,2021-10-08,2021-10-16,2021,한화,2021-10-22,8,0.103,1,32.0,29.0,0.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,5.0,3.0,0.0,0.0,10.0,1.0,0.0,0.0,0.103,0.188,0.172,0.36,2021,131
post,7,2021,한화,5,2021-10-08,2021-10-16,2021,한화,2021-10-23,1,0.359,1,54.0,39.0,15.0,14.0,2.0,0.0,1.0,19.0,14.0,1.0,0.0,8.0,7.0,13.0,1.0,0.0,10.0,0.0,0.0,1.0,0.359,0.519,0.487,1.006,2021,132
post,7,2021,한화,5,2021-10-08,2021-10-16,2021,한화,2021-10-24,5,0.219,1,35.0,32.0,2.0,7.0,0.0,1.0,1.0,12.0,2.0,4.0,0.0,4.0,12.0,2.0,0.0,0.0,9.0,0.0,0.0,1.0,0.219,0.257,0.375,0.632,2021,133
post,9,2021,한화,10,2021-06-19,2021-07-01,2021,한화,2021-07-02,2,0.324,1,40.0,34.0,5.0,11.0,2.0,0.0,0.0,13.0,5.0,1.0,0.0,7.0,6.0,1.0,2.0,0.0,10.0,0.0,1.0,2.0,0.324,0.359,0.382,0.741,2021,70
post,9,2021,한화,10,2021-06-19,2021-07-01,2021,한화,2021-07-04,9,0.143,1,30.0,28.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,11.0,5.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.143,0.2,0.179,0.379,2021,71
post,9,2021,한화,10,2021-06-19,2021-07-01,2021,한화,2021-07-05,5,0.233,1,39.0,30.0,6.0,7.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,12.0,8.0,5.0,1.0,0.0,4.0,1.0,2.0,1.0,0.233,0.351,0.233,0.584,2021,72
post,9,2021,한화,10,2021-06-19,2021-07-01,2021,한화,2021-07-07,6,0.171,1,43.0,35.0,1.0,6.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,7.0,11.0,6.0,1.0,0.0,10.0,0.0,1.0,0.0,0.171,0.31,0.171,0.481,2021,73
post,9,2021,한화,10,2021-06-19,2021-07-01,2021,한화,2021-07-09,3,0.308,1,47.0,39.0,9.0,12.0,2.0,0.0,3.0,23.0,9.0,0.0,0.0,6.0,10.0,5.0,2.0,0.0,11.0,0.0,1.0,0.0,0.308,0.413,0.59,1.003,2021,74
post,10,2022,키움,4,2022-07-27,2022-08-02,2022,키움,2022-08-03,6,0.226,1,36.0,31.0,3.0,7.0,1.0,0.0,1.0,11.0,3.0,0.0,0.0,12.0,6.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,0.226,0.333,0.355,0.688,2022,96
post,10,2022,키움,4,2022-07-27,2022-08-02,2022,키움,2022-08-04,5,0.256,1,42.0,39.0,5.0,10.0,2.0,0.0,1.0,15.0,3.0,1.0,0.0,12.0,9.0,3.0,0.0,1.0,7.0,1.0,0.0,0.0,0.256,0.31,0.385,0.695,2022,97
post,10,2022,키움,4,2022-07-27,2022-08-02,2022,키움,2022-08-05,1,0.324,1,43.0,37.0,8.0,12.0,1.0,1.0,1.0,18.0,8.0,1.0,0.0,8.0,12.0,5.0,0.0,0.0,4.0,1.0,1.0,0.0,0.324,0.405,0.486,0.891,2022,98
post,10,2022,키움,4,2022-07-27,2022-08-02,2022,키움,2022-08-06,5,0.27,1,39.0,37.0,3.0,10.0,1.0,0.0,1.0,14.0,2.0,0.0,0.0,10.0,12.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.27,0.308,0.378,0.686,2022,99
post,10,2022,키움,4,2022-07-27,2022-08-02,2022,키움,2022-08-07,7,0.194,1,33.0,31.0,0.0,6.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,11.0,8.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,0.194,0.242,0.226,0.468,2022,100
post,11,2022,키움,5,2022-08-06,2022-08-12,2022,키움,2022-08-13,3,0.282,1,42.0,39.0,8.0,11.0,0.0,0.0,4.0,23.0,8.0,1.0,0.0,12.0,11.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.282,0.333,0.59,0.923,2022,104
post,11,2022,키움,5,2022-08-06,2022-08-12,2022,키움,2022-08-14,1,0.4,1,49.0,40.0,12.0,16.0,2.0,1.0,2.0,26.0,12.0,1.0,0.0,13.0,12.0,5.0,1.0,0.0,1.0,0.0,1.0,2.0,0.4,0.458,0.65,1.108,2022,105
post,11,2022,키움,5,2022-08-06,2022-08-12,2022,키움,2022-08-16,3,0.286,1,41.0,35.0,4.0,10.0,1.0,0.0,0.0,11.0,4.0,0.0,0.0,9.0,10.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,0.286,0.375,0.314,0.689,2022,106
post,11,2022,키움,5,2022-08-06,2022-08-12,2022,키움,2022-08-17,10,0.188,1,34.0,32.0,2.0,6.0,1.0,1.0,1.0,12.0,1.0,1.0,0.0,6.0,14.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.188,0.235,0.375,0.61,2022,107
post,11,2022,키움,5,2022-08-06,2022-08-12,2022,키움,2022-08-18,6,0.27,1,38.0,37.0,2.0,10.0,0.0,0.0,2.0,16.0,2.0,0.0,0.0,10.0,10.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.27,0.289,0.432,0.721,2022,108
post,12,2022,키움,6,2022-08-16,2022-08-23,2022,키움,2022-08-24,1,0.368,1,43.0,38.0,11.0,14.0,4.0,0.0,1.0,21.0,10.0,0.0,1.0,7.0,13.0,4.0,0.0,0.0,4.0,1.0,0.0,1.0,0.368,0.419,0.553,0.972,2022,112
post,12,2022,키움,6,2022-08-16,2022-08-23,2022,키움,2022-08-25,1,0.405,1,48.0,37.0,10.0,15.0,2.0,1.0,1.0,22.0,10.0,0.0,1.0,8.0,9.0,8.0,2.0,0.0,3.0,2.0,0.0,1.0,0.405,0.521,0.595,1.116,2022,113
post,12,2022,키움,6,2022-08-16,2022-08-23,2022,키움,2022-08-26,3,0.281,1,38.0,32.0,6.0,9.0,2.0,0.0,0.0,11.0,5.0,0.0,1.0,5.0,10.0,3.0,2.0,0.0,7.0,1.0,1.0,0.0,0.281,0.378,0.344,0.722,2022,114
post,12,2022,키움,6,2022-08-16,2022-08-23,2022,키움,2022-08-27,9,0.176,1,36.0,34.0,0.0,6.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,7.0,10.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.176,0.222,0.235,0.457,2022,115
post,12,2022,키움,6,2022-08-16,2022-08-23,2022,키움,2022-08-28,9,0.138,1,32.0,29.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,14.0,2.0,1.0,0.0,5.0,2.0,0.0,0.0,0.138,0.219,0.138,0.357,2022,116
post,13,2022,삼성,4,2022-06-21,2022-06-24,2022,삼성,2022-06-25,9,0.188,1,41.0,32.0,5.0,6.0,2.0,0.0,1.0,11.0,5.0,1.0,0.0,11.0,11.0,6.0,1.0,0.0,3.0,1.0,2.0,0.0,0.188,0.333,0.344,0.677,2022,70
post,13,2022,삼성,4,2022-06-21,2022-06-24,2022,삼성,2022-06-26,8,0.219,1,37.0,32.0,6.0,7.0,2.0,0.0,2.0,15.0,6.0,0.0,0.0,13.0,5.0,4.0,0.0,1.0,7.0,1.0,1.0,0.0,0.219,0.306,0.469,0.775,2022,71
post,13,2022,삼성,4,2022-06-21,2022-06-24,2022,삼성,2022-06-28,3,0.351,1,40.0,37.0,4.0,13.0,2.0,0.0,0.0,15.0,4.0,0.0,0.0,15.0,2.0,3.0,0.0,0.0,6.0,4.0,0.0,0.0,0.351,0.4,0.405,0.805,2022,72
post,13,2022,삼성,4,2022-06-21,2022-06-24,2022,삼성,2022-06-29,2,0.313,1,38.0,32.0,8.0,10.0,4.0,0.0,1.0,17.0,8.0,1.0,1.0,9.0,8.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.313,0.421,0.531,0.952,2022,73
post,13,2022,삼성,4,2022-06-21,2022-06-24,2022,삼성,2022-06-30,5,0.219,1,36.0,32.0,2.0,7.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,11.0,6.0,2.0,1.0,0.0,7.0,1.0,1.0,0.0,0.219,0.286,0.219,0.505,2022,74
post,14,2022,삼성,4,2022-08-13,2022-08-17,2022,삼성,2022-08-18,9,0.235,1,40.0,34.0,7.0,8.0,1.0,0.0,2.0,15.0,7.0,1.0,0.0,10.0,10.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,0.235,0.35,0.441,0.791,2022,105
post,14,2022,삼성,4,2022-08-13,2022-08-17,2022,삼성,2022-08-19,2,0.297,1,43.0,37.0,9.0,11.0,2.0,0.0,3.0,22.0,9.0,0.0,0.0,11.0,4.0,5.0,0.0,1.0,9.0,0.0,1.0,0.0,0.297,0.381,0.595,0.976,2022,106
post,14,2022,삼성,4,2022-08-13,2022-08-17,2022,삼성,2022-08-21,7,0.229,1,38.0,35.0,2.0,8.0,0.0,0.0,1.0,11.0,2.0,0.0,0.0,14.0,3.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.229,0.289,0.314,0.603,2022,107
post,14,2022,삼성,4,2022-08-13,2022-08-17,2022,삼성,2022-08-23,4,0.3,1,44.0,40.0,3.0,12.0,2.0,0.0,1.0,17.0,3.0,0.0,0.0,6.0,8.0,4.0,0.0,0.0,13.0,1.0,0.0,0.0,0.3,0.364,0.425,0.789,2022,108
post,14,2022,삼성,4,2022-08-13,2022-08-17,2022,삼성,2022-08-24,8,0.235,1,34.0,34.0,2.0,8.0,3.0,0.0,0.0,11.0,1.0,0.0,1.0,10.0,10.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.235,0.235,0.324,0.559,2022,109
post,15,2022,삼성,13,2022-06-30,2022-07-23,2022,삼성,2022-07-24,2,0.341,1,45.0,41.0,8.0,14.0,5.0,0.0,1.0,22.0,8.0,0.0,0.0,8.0,7.0,4.0,0.0,0.0,11.0,0.0,0.0,0.0,0.341,0.4,0.537,0.937,2022,87
post,15,2022,삼성,13,2022-06-30,2022-07-23,2022,삼성,2022-07-26,8,0.219,1,34.0,32.0,2.0,7.0,2.0,0.0,0.0,9.0,2.0,0.0,2.0,7.0,8.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,0.219,0.235,0.281,0.516,2022,88
post,15,2022,삼성,13,2022-06-30,2022-07-23,2022,삼성,2022-07-27,1,0.378,1,44.0,37.0,11.0,14.0,1.0,0.0,0.0,15.0,10.0,0.0,0.0,6.0,13.0,5.0,1.0,0.0,5.0,0.0,0.0,1.0,0.378,0.455,0.405,0.86,2022,89
post,15,2022,삼성,13,2022-06-30,2022-07-23,2022,삼성,2022-07-28,7,0.182,1,49.0,44.0,3.0,8.0,0.0,0.0,0.0,8.0,3.0,2.0,0.0,9.0,13.0,5.0,0.0,0.0,13.0,0.0,0.0,0.0,0.182,0.265,0.182,0.447,2022,90
post,15,2022,삼성,13,2022-06-30,2022-07-23,2022,삼성,2022-07-29,3,0.317,1,46.0,41.0,8.0,13.0,4.0,0.0,1.0,20.0,7.0,1.0,0.0,11.0,10.0,4.0,1.0,1.0,6.0,0.0,0.0,0.0,0.317,0.391,0.488,0.879,2022,91
post,16,2022,롯데,6,2022-05-24,2022-05-29,2022,롯데,2022-05-31,5,0.303,1,37.0,33.0,7.0,10.0,2.0,0.0,1.0,15.0,6.0,1.0,0.0,13.0,6.0,3.0,0.0,0.0,4.0,2.0,1.0,0.0,0.303,0.361,0.455,0.816,2022,49
post,16,2022,롯데,6,2022-05-24,2022-05-29,2022,롯데,2022-06-01,3,0.308,1,42.0,39.0,5.0,12.0,2.0,0.0,1.0,17.0,5.0,0.0,0.0,6.0,16.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.308,0.357,0.436,0.793,2022,50
post,16,2022,롯데,6,2022-05-24,2022-05-29,2022,롯데,2022-06-02,4,0.267,1,51.0,45.0,2.0,12.0,2.0,0.0,0.0,14.0,2.0,1.0,1.0,13.0,14.0,5.0,1.0,1.0,5.0,2.0,0.0,0.0,0.267,0.353,0.311,0.664,2022,51
post,16,2022,롯데,6,2022-05-24,2022-05-29,2022,롯데,2022-06-03,10,0.1,1,31.0,30.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,11.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.1,0.129,0.1,0.229,2022,52
post,16,2022,롯데,6,2022-05-24,2022-05-29,2022,롯데,2022-06-04,8,0.188,1,35.0,32.0,3.0,6.0,2.0,1.0,0.0,10.0,2.0,0.0,1.0,9.0,8.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,0.188,0.257,0.313,0.57,2022,53
post,17,2022,롯데,7,2022-07-22,2022-07-29,2022,롯데,2022-07-30,1,0.421,1,47.0,38.0,9.0,16.0,3.0,0.0,2.0,25.0,9.0,0.0,0.0,9.0,13.0,4.0,1.0,0.0,3.0,2.0,1.0,3.0,0.421,0.457,0.658,1.115,2022,92
post,17,2022,롯데,7,2022-07-22,2022-07-29,2022,롯데,2022-07-31,3,0.244,1,51.0,45.0,5.0,11.0,2.0,0.0,1.0,16.0,5.0,0.0,0.0,16.0,8.0,4.0,1.0,1.0,9.0,2.0,1.0,0.0,0.244,0.32,0.356,0.676,2022,93
post,17,2022,롯데,7,2022-07-22,2022-07-29,2022,롯데,2022-08-02,6,0.179,1,30.0,28.0,4.0,5.0,1.0,1.0,1.0,11.0,4.0,0.0,0.0,6.0,11.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,0.179,0.2,0.393,0.593,2022,94
post,17,2022,롯데,7,2022-07-22,2022-07-29,2022,롯데,2022-08-03,10,0.103,1,33.0,29.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,9.0,12.0,3.0,0.0,0.0,6.0,1.0,0.0,1.0,0.103,0.182,0.103,0.285,2022,95
post,17,2022,롯데,7,2022-07-22,2022-07-29,2022,롯데,2022-08-04,4,0.294,1,37.0,34.0,2.0,10.0,2.0,0.0,0.0,12.0,1.0,0.0,0.0,11.0,4.0,1.0,0.0,0.0,8.0,2.0,2.0,0.0,0.294,0.314,0.353,0.667,2022,96
post,18,2022,두산,4,2022-05-31,2022-06-03,2022,두산,2022-06-04,1,0.372,1,51.0,43.0,16.0,16.0,2.0,0.0,5.0,33.0,14.0,0.0,1.0,10.0,12.0,7.0,0.0,0.0,5.0,1.0,0.0,1.0,0.372,0.451,0.767,1.218,2022,52
post,18,2022,두산,4,2022-05-31,2022-06-03,2022,두산,2022-06-07,4,0.258,1,34.0,31.0,3.0,8.0,2.0,0.0,1.0,13.0,3.0,0.0,1.0,10.0,10.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.258,0.303,0.419,0.722,2022,53
post,18,2022,두산,4,2022-05-31,2022-06-03,2022,두산,2022-06-08,10,0.182,1,34.0,33.0,1.0,6.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,10.0,11.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.182,0.206,0.182,0.388,2022,54
post,18,2022,두산,4,2022-05-31,2022-06-03,2022,두산,2022-06-09,1,0.371,1,49.0,35.0,16.0,13.0,1.0,1.0,1.0,19.0,15.0,0.0,0.0,6.0,12.0,10.0,2.0,0.0,6.0,0.0,0.0,2.0,0.371,0.51,0.543,1.053,2022,55
post,18,2022,두산,4,2022-05-31,2022-06-03,2022,두산,2022-06-10,7,0.257,1,39.0,35.0,7.0,9.0,1.0,1.0,2.0,18.0,7.0,0.0,0.0,6.0,12.0,4.0,0.0,0.0,7.0,1.0,0.0,0.0,0.257,0.333,0.514,0.847,2022,56
post,19,2022,두산,4,2022-08-23,2022-08-26,2022,두산,2022-08-27,4,0.242,1,37.0,33.0,2.0,8.0,0.0,0.0,1.0,11.0,2.0,0.0,1.0,8.0,10.0,3.0,1.0,1.0,5.0,0.0,0.0,0.0,0.242,0.324,0.333,0.657,2022,109
post,19,2022,두산,4,2022-08-23,2022-08-26,2022,두산,2022-08-28,2,0.368,1,44.0,38.0,6.0,14.0,1.0,0.0,2.0,21.0,5.0,0.0,0.0,6.0,9.0,2.0,3.0,0.0,6.0,2.0,1.0,0.0,0.368,0.442,0.553,0.995,2022,110
post,19,2022,두산,4,2022-08-23,2022-08-26,2022,두산,2022-08-31,3,0.289,1,40.0,38.0,2.0,11.0,1.0,0.0,1.0,15.0,2.0,0.0,0.0,8.0,11.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.289,0.325,0.395,0.72,2022,111
post,19,2022,두산,4,2022-08-23,2022-08-26,2022,두산,2022-09-01,5,0.161,1,32.0,31.0,2.0,5.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,7.0,3.0,1.0,0.0,0.0,15.0,1.0,0.0,0.0,0.161,0.188,0.161,0.349,2022,112
post,19,2022,두산,4,2022-08-23,2022-08-26,2022,두산,2022-09-02,4,0.273,1,38.0,33.0,4.0,9.0,1.0,0.0,1.0,13.0,4.0,0.0,0.0,6.0,5.0,5.0,0.0,0.0,12.0,3.0,0.0,0.0,0.273,0.368,0.394,0.762,2022,113
post,20,2022,두산,5,2022-06-30,2022-07-05,2022,두산,2022-07-06,6,0.276,1,35.0,29.0,5.0,8.0,3.0,0.0,1.0,14.0,5.0,1.0,0.0,10.0,5.0,2.0,1.0,0.0,6.0,0.0,2.0,1.0,0.276,0.333,0.483,0.816,2022,76
post,20,2022,두산,5,2022-06-30,2022-07-05,2022,두산,2022-07-07,6,0.222,1,35.0,27.0,4.0,6.0,1.0,0.0,0.0,7.0,4.0,0.0,0.0,9.0,8.0,4.0,2.0,0.0,3.0,1.0,2.0,0.0,0.222,0.364,0.259,0.623,2022,77
post,20,2022,두산,5,2022-06-30,2022-07-05,2022,두산,2022-07-08,8,0.194,1,37.0,36.0,4.0,7.0,1.0,0.0,1.0,11.0,4.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.194,0.216,0.306,0.522,2022,78
